Year,Annual nitrous oxide emissions in CO₂ equivalents,Annual methane emissions in CO₂ equivalents,Annual CO₂ emissions
1850,3.6641177538683305,30.670939009126062,65.66494323700562
1860,3.699779145016401,29.298246483670248,67.00197437131334
1870,3.570646232079533,29.4065071138809,67.02284665403955
1880,4.224917655280187,26.36798182952261,69.4071005151972
1890,3.9703095841728215,24.907692046151986,71.12199836967518
1900,3.684201500668185,22.947123159421338,73.36867533991047
1910,3.4216421444085023,21.680944673791327,74.89741318180016
1920,3.904768721860468,22.10785033786086,73.98738094027867
1930,4.013008008830573,22.477598815830195,73.50939317533923
1940,3.729852754396191,22.34868625645445,73.92146098914937
1950,6.588758660998513,22.617671157589076,70.7935701814124
1960,5.896667744372353,22.332772619963666,71.77055963566397
1970,6.483426063825489,22.258060824399216,71.2585131117753
1980,6.603801381131527,21.036693025700238,72.35950559316824
1990,5.979330422893111,20.386622748930712,73.63404682817618
2000,5.79235521169543,19.846904704997172,74.36074008330739
2010,5.327996203889369,18.676277956508507,75.99572583960213
2020,5.701681477812941,19.785051092836543,74.51326742935052
