city,state,scientific_name,tree_count
Ontario,California,Acer saccharinum,3328
Ontario,California,Tilia cordata,3307
Ontario,California,Other,38984
Orlando,Florida,Acer platanoides,17126
Orlando,Florida,Acer saccharum,14988
Orlando,Florida,Acer rubrum,10620
Orlando,Florida,Acer saccharinum,2855
Orlando,Florida,Tilia cordata,2609
Orlando,Florida,Other,17986
Overland Park,Kansas,Acer platanoides,13289
Overland Park,Kansas,Acer saccharum,7654
Overland Park,Kansas,Acer rubrum,3419
Overland Park,Kansas,Acer saccharinum,1983
Overland Park,Kansas,Tilia cordata,1929
Overland Park,Kansas,Other,16493
Phoenix,Arizona,Acer platanoides,19
Phoenix,Arizona,Acer saccharum,16
Phoenix,Arizona,Acer rubrum,14
Phoenix,Arizona,Acer saccharinum,12
Phoenix,Arizona,Tilia cordata,11
Phoenix,Arizona,Other,142
Pittsburgh,Pennsylvania,Acer platanoides,3715
Pittsburgh,Pennsylvania,Acer saccharum,3422
Pittsburgh,Pennsylvania,Acer rubrum,3238
Pittsburgh,Pennsylvania,Acer saccharinum,2969
Pittsburgh,Pennsylvania,Tilia cordata,2413
Pittsburgh,Pennsylvania,Other,24397
Plano,Texas,Acer platanoides,3641
Plano,Texas,Acer saccharum,3279
Plano,Texas,Acer rubrum,2598
Plano,Texas,Acer saccharinum,1906
Plano,Texas,Tilia cordata,1598
Plano,Texas,Other,9740
Portland,Oregon,Acer platanoides,25635
Portland,Oregon,Acer saccharum,19209
Portland,Oregon,Acer rubrum,15475
Portland,Oregon,Acer saccharinum,11700
Portland,Oregon,Tilia cordata,10635
Portland,Oregon,Other,134097
Providence,Rhode Island,Acer platanoides,3054
Providence,Rhode Island,Acer saccharum,2792
Providence,Rhode Island,Acer rubrum,2050
Providence,Rhode Island,Acer saccharinum,1867
Providence,Rhode Island,Tilia cordata,1714
Providence,Rhode Island,Other,12605
Rancho Cucamonga,California,Acer platanoides,12889
Rancho Cucamonga,California,Acer saccharum,5698
Rancho Cucamonga,California,Acer rubrum,5549
Rancho Cucamonga,California,Acer saccharinum,5016
Rancho Cucamonga,California,Tilia cordata,4941
Rancho Cucamonga,California,Other,46199
Richmond,Virginia,Acer platanoides,227
Richmond,Virginia,Acer saccharum,171
Richmond,Virginia,Acer rubrum,161
Richmond,Virginia,Acer saccharinum,148
Richmond,Virginia,Tilia cordata,133
Richmond,Virginia,Other,975
Rochester,New York,Acer platanoides,6307
Rochester,New York,Acer saccharum,3329
Rochester,New York,Acer rubrum,2970
Rochester,New York,Acer saccharinum,2499
Rochester,New York,Tilia cordata,2178
Rochester,New York,Other,28401
Sacramento,California,Acer platanoides,14111
Sacramento,California,Acer saccharum,4580
Sacramento,California,Acer rubrum,4285
Sacramento,California,Acer saccharinum,4146
Sacramento,California,Tilia cordata,4047
Sacramento,California,Other,53091
San Diego,California,Acer platanoides,22624
San Diego,California,Acer saccharum,15129
San Diego,California,Acer rubrum,13608
San Diego,California,Acer saccharinum,13269
San Diego,California,Tilia cordata,12677
San Diego,California,Other,134913
San Francisco,California,Acer platanoides,11925
San Francisco,California,Acer saccharum,8681
San Francisco,California,Acer rubrum,8509
San Francisco,California,Acer saccharinum,8236
San Francisco,California,Tilia cordata,7793
San Francisco,California,Other,129924
San Jose,California,Acer platanoides,26291
San Jose,California,Acer saccharum,24316
San Jose,California,Acer rubrum,21636
San Jose,California,Acer saccharinum,14644
San Jose,California,Tilia cordata,9631
San Jose,California,Other,168288
Santa Rosa,California,Acer platanoides,468
Santa Rosa,California,Acer saccharum,203
Santa Rosa,California,Acer rubrum,155
Santa Rosa,California,Acer saccharinum,139
Santa Rosa,California,Tilia cordata,87
Santa Rosa,California,Other,161
Seattle,Washington,Acer platanoides,8244
Seattle,Washington,Acer saccharum,7543
Seattle,Washington,Acer rubrum,6304
Seattle,Washington,Acer saccharinum,5206
Seattle,Washington,Tilia cordata,4948
Seattle,Washington,Other,132658
Sioux Falls,South Dakota,Acer platanoides,21452
Sioux Falls,South Dakota,Acer saccharum,5704
Sioux Falls,South Dakota,Acer rubrum,4933
Sioux Falls,South Dakota,Acer saccharinum,4327
Sioux Falls,South Dakota,Tilia cordata,3097
Sioux Falls,South Dakota,Other,21791
St. Louis,Missouri,Acer platanoides,8575
St. Louis,Missouri,Acer saccharum,7761
St. Louis,Missouri,Acer rubrum,7210
St. Louis,Missouri,Acer saccharinum,6503
St. Louis,Missouri,Tilia cordata,4557
St. Louis,Missouri,Other,48846
Stockton,California,Acer platanoides,11392
Stockton,California,Acer saccharum,7552
Stockton,California,Acer rubrum,7354
Stockton,California,Acer saccharinum,7179
Stockton,California,Tilia cordata,5296
Stockton,California,Other,58934
Seffner,Florida,Acer platanoides,4
Seffner,Florida,Acer saccharum,4
Seffner,Florida,Acer rubrum,3
Seffner,Florida,Acer saccharinum,1
Seffner,Florida,Tilia cordata,0
Tampa,Florida,Acer platanoides,5379
Tampa,Florida,Acer saccharum,3248
Tampa,Florida,Acer rubrum,2851
Tampa,Florida,Acer saccharinum,1381
Tampa,Florida,Tilia cordata,1236
Tampa,Florida,Other,9563
Temple Terrace,Florida,Acer platanoides,3
Temple Terrace,Florida,Acer saccharum,3
Temple Terrace,Florida,Acer rubrum,1
Temple Terrace,Florida,Acer saccharinum,1
Temple Terrace,Florida,Tilia cordata,0
Washington DC,District of Columbia,Acer platanoides,12711
Washington DC,District of Columbia,Acer saccharum,9981
Washington DC,District of Columbia,Acer rubrum,9014
Washington DC,District of Columbia,Acer saccharinum,8904
Washington DC,District of Columbia,Tilia cordata,6343
Washington DC,District of Columbia,Other,121052
Worcester,Massachusetts,Acer platanoides,9364
Worcester,Massachusetts,Acer saccharum,1346
Worcester,Massachusetts,Acer rubrum,1029
Worcester,Massachusetts,Acer saccharinum,342
Worcester,Massachusetts,Tilia cordata,335
Worcester,Massachusetts,Other,3061
